time_sec,bus_id,headway_min
0.000000,0,15.000000
300.000000,0,20.000000
630.000000,0,25.500000
900.000000,1,3.133333
1012.000000,0,31.866667
1268.000000,1,4.233333
1314.000000,0,36.900000
1642.000000,0,42.366667
1642.000000,1,5.000000
1800.000000,2,1.600000
2004.000000,1,4.966667
2006.000000,0,48.433333
2246.000000,2,3.966667
2306.000000,0,53.433333
2308.000000,1,5.033333
2664.000000,0,59.400000
2664.000000,1,5.000000
2664.000000,2,5.000000
2700.000000,3,5.600000
3052.000000,0,65.866667
3052.000000,2,5.000000
3052.000000,1,5.000000
3248.000000,3,3.166667
3356.000000,1,4.966667
3358.000000,0,70.966667
3358.000000,2,5.033333
3600.000000,4,3.466667
3692.000000,3,5.000000
3692.000000,2,5.000000
3692.000000,1,5.000000
3692.000000,0,1.533333
4070.000000,0,3.166667
4072.000000,2,5.000000
4072.000000,3,5.000000
4072.000000,1,5.033333
4180.000000,4,1.800000
4372.000000,3,4.966667
4372.000000,1,4.966667
4374.000000,2,5.033333
4374.000000,0,8.233333
4700.000000,2,5.000000
4700.000000,3,5.000000
4700.000000,1,5.000000
4700.000000,0,4.966667
4702.000000,4,5.033333
5078.000000,0,5.000000
5078.000000,3,5.000000
5078.000000,2,5.000000
5078.000000,1,5.000000
5078.000000,4,5.000000
5470.000000,4,4.966667
5472.000000,1,5.000000
5472.000000,2,5.000000
5472.000000,0,5.033333
5472.000000,3,5.000000
5846.000000,3,4.966667
5846.000000,0,4.966667
5848.000000,2,5.000000
5848.000000,4,5.033333
5848.000000,1,5.033333
6228.000000,0,5.000000
6228.000000,4,5.000000
6228.000000,3,5.000000
6228.000000,2,4.966667
6230.000000,1,5.033333
6608.000000,2,5.000000
6608.000000,1,4.966667
6610.000000,4,5.000000
6610.000000,0,5.000000
6610.000000,3,5.033333
7002.000000,4,5.000000
7002.000000,0,5.000000
7002.000000,3,4.966667
7004.000000,1,5.033333
7004.000000,2,5.000000
7398.000000,0,4.966667
7398.000000,2,5.000000
7398.000000,3,5.000000
7398.000000,1,5.000000
7400.000000,4,5.033333
7786.000000,3,5.000000
7786.000000,4,5.000000
7786.000000,1,4.966667
7786.000000,2,5.000000
7788.000000,0,5.033333
8182.000000,1,5.000000
8182.000000,2,5.000000
8182.000000,0,4.966667
8184.000000,4,5.000000
8184.000000,3,5.033333
8572.000000,3,4.966667
8572.000000,4,5.000000
8574.000000,1,5.000000
8574.000000,0,5.033333
8574.000000,2,5.000000
8974.000000,1,5.000000
8974.000000,4,5.000000
8974.000000,0,5.000000
8974.000000,3,4.966667
8976.000000,2,5.033333
9364.000000,0,4.966667
9366.000000,4,5.000000
9366.000000,2,5.000000
9366.000000,1,5.033333
9366.000000,3,5.000000
9758.000000,4,4.966667
9760.000000,0,5.033333
9760.000000,3,5.000000
9760.000000,1,5.000000
9760.000000,2,5.000000
10156.000000,2,5.000000
10156.000000,1,4.966667
10158.000000,4,5.000000
10158.000000,3,5.033333
10158.000000,0,5.000000
10546.000000,0,5.000000
10546.000000,2,5.000000
10546.000000,4,4.966667
10546.000000,1,5.000000
10548.000000,3,5.033333
10950.000000,4,5.000000
10950.000000,3,5.000000
10950.000000,1,4.966667
10950.000000,2,5.000000
10952.000000,0,5.033333
11346.000000,2,4.966667
11346.000000,0,4.966667
11348.000000,3,5.033333
11348.000000,1,5.033333
11348.000000,4,5.000000
11762.000000,1,4.966667
11762.000000,4,4.966667
11764.000000,2,5.033333
11764.000000,3,5.000000
11764.000000,0,5.033333
12158.000000,4,5.000000
12158.000000,2,4.966667
12158.000000,3,5.000000
12160.000000,1,5.000000
12160.000000,0,5.033333
12554.000000,0,4.966667
12554.000000,1,5.000000
12556.000000,3,5.000000
12556.000000,2,5.033333
12556.000000,4,5.000000
12954.000000,1,5.000000
12954.000000,0,5.000000
12954.000000,4,5.000000
12954.000000,3,5.000000
12954.000000,2,5.000000
13344.000000,0,5.000000
13344.000000,4,5.000000
13344.000000,3,5.000000
13344.000000,1,5.000000
13344.000000,2,5.000000
13746.000000,1,5.000000
13746.000000,3,5.000000
13746.000000,0,5.000000
13746.000000,4,5.000000
13746.000000,2,5.000000
14152.000000,3,5.000000
14152.000000,4,5.000000
14152.000000,1,5.000000
14152.000000,2,5.000000
14152.000000,0,5.000000
14552.000000,2,5.000000
14552.000000,4,5.000000
14552.000000,1,5.000000
14552.000000,0,5.000000
14552.000000,3,5.000000
14954.000000,3,4.966667
14956.000000,0,5.000000
14956.000000,2,5.000000
14956.000000,4,5.033333
14956.000000,1,5.000000
15344.000000,3,4.966667
15344.000000,0,4.966667
15344.000000,1,5.000000
15346.000000,2,5.033333
15346.000000,4,5.033333
15752.000000,2,5.000000
15752.000000,1,4.966667
15752.000000,4,4.966667
15754.000000,0,5.033333
15754.000000,3,5.033333
16138.000000,1,4.966667
16138.000000,2,5.000000
16140.000000,0,5.000000
16140.000000,3,5.033333
16140.000000,4,5.000000
16534.000000,4,5.000000
16534.000000,3,5.000000
16534.000000,0,5.000000
16534.000000,2,5.000000
16534.000000,1,5.000000
16922.000000,2,4.966667
16922.000000,0,4.966667
16924.000000,3,5.033333
16924.000000,4,5.000000
16924.000000,1,5.033333
17320.000000,0,5.000000
17320.000000,4,4.966667
17322.000000,1,5.033333
17322.000000,2,5.000000
17322.000000,3,5.000000
17732.000000,0,4.966667
17732.000000,3,4.966667
17734.000000,4,5.033333
17734.000000,2,5.000000
17734.000000,1,5.033333
18138.000000,3,5.000000
18138.000000,0,5.000000
18138.000000,1,5.000000
18138.000000,2,5.000000
18138.000000,4,5.000000
18528.000000,3,5.000000
18528.000000,1,5.000000
18528.000000,2,5.000000
18528.000000,4,5.000000
18528.000000,0,5.000000
18928.000000,3,5.000000
18928.000000,2,4.966667
18930.000000,0,5.000000
18930.000000,4,5.033333
18930.000000,1,5.000000
19332.000000,0,5.000000
19332.000000,1,5.000000
19332.000000,3,5.000000
19332.000000,2,5.000000
19332.000000,4,5.000000
19726.000000,3,5.000000
19726.000000,2,4.966667
