time_sec,bus_id,stop_idx,onboard,headway_min
0.000000,0,0,0,15.000000
0.000000,1,3,0,0.000000
0.000000,2,6,0,60.000000
0.000000,3,9,0,45.000000
0.000000,4,12,0,30.000000
60.000000,0,0,0,16.000000
60.000000,1,3,0,1.000000
60.000000,2,6,0,61.000000
60.000000,3,9,0,46.000000
60.000000,4,12,0,31.000000
120.000000,0,0,0,17.000000
120.000000,1,3,0,2.000000
120.000000,2,6,0,62.000000
120.000000,3,9,0,47.000000
120.000000,4,12,0,32.000000
180.000000,0,0,0,18.000000
180.000000,1,3,0,3.000000
180.000000,2,6,0,63.000000
180.000000,3,9,0,48.000000
180.000000,4,12,0,33.000000
240.000000,0,0,0,19.000000
240.000000,1,3,0,4.000000
240.000000,2,6,0,64.000000
240.000000,3,9,0,49.000000
240.000000,4,12,0,34.000000
300.000000,0,1,0,20.000000
300.000000,1,3,0,5.000000
300.000000,2,6,0,65.000000
300.000000,3,9,0,50.000000
300.000000,4,12,0,35.000000
360.000000,0,1,16,21.000000
360.000000,1,3,0,0.500000
360.000000,2,6,0,66.000000
360.000000,3,9,0,51.000000
360.000000,4,12,0,36.000000
420.000000,0,1,16,22.000000
420.000000,1,3,0,1.500000
420.000000,2,6,0,67.000000
420.000000,3,9,0,52.000000
420.000000,4,12,0,37.000000
480.000000,0,1,16,23.000000
480.000000,1,3,0,2.500000
480.000000,2,6,0,68.000000
480.000000,3,9,0,53.000000
480.000000,4,12,0,38.000000
540.000000,0,1,16,24.000000
540.000000,1,3,0,3.500000
540.000000,2,6,0,69.000000
540.000000,3,9,0,54.000000
540.000000,4,12,0,39.000000
600.000000,0,1,16,25.000000
600.000000,1,3,0,4.500000
600.000000,2,6,0,70.000000
600.000000,3,9,0,55.000000
600.000000,4,12,0,40.000000
660.000000,0,2,31,26.000000
660.000000,1,3,0,5.500000
660.000000,2,6,0,71.000000
660.000000,3,9,0,56.000000
660.000000,4,12,0,41.000000
720.000000,0,2,58,27.000000
720.000000,1,3,0,0.133333
720.000000,2,6,0,72.000000
720.000000,3,9,0,57.000000
720.000000,4,12,0,42.000000
780.000000,0,2,58,28.000000
780.000000,1,3,0,1.133333
780.000000,2,6,0,73.000000
780.000000,3,9,0,58.000000
780.000000,4,12,0,43.000000
840.000000,0,2,58,29.000000
840.000000,1,3,0,2.133333
840.000000,2,6,0,74.000000
840.000000,3,9,0,59.000000
840.000000,4,12,0,44.000000
900.000000,0,2,58,30.000000
900.000000,1,3,0,3.133333
900.000000,2,6,0,0.000000
900.000000,3,9,0,60.000000
900.000000,4,12,0,45.000000
960.000000,0,2,58,31.000000
960.000000,1,3,30,4.133333
960.000000,2,6,0,1.000000
960.000000,3,9,0,61.000000
960.000000,4,12,0,46.000000
1020.000000,0,3,60,32.000000
1020.000000,1,3,35,0.100000
1020.000000,2,6,0,0.866667
1020.000000,3,9,0,62.000000
1020.000000,4,12,0,47.000000
1080.000000,0,3,60,33.000000
1080.000000,1,3,35,1.100000
1080.000000,2,6,0,1.866667
1080.000000,3,9,0,63.000000
1080.000000,4,12,0,48.000000
1140.000000,0,3,60,34.000000
1140.000000,1,3,35,2.100000
1140.000000,2,6,0,2.866667
1140.000000,3,9,0,64.000000
1140.000000,4,12,0,49.000000
1200.000000,0,3,60,35.000000
1200.000000,1,3,35,3.100000
1200.000000,2,6,0,3.866667
1200.000000,3,9,0,65.000000
1200.000000,4,12,0,50.000000
1260.000000,0,3,60,36.000000
1260.000000,1,3,35,4.100000
1260.000000,2,6,0,4.866667
1260.000000,3,9,0,66.000000
1260.000000,4,12,0,51.000000
1320.000000,0,4,63,37.000000
1320.000000,1,4,61,5.100000
1320.000000,2,6,0,5.866667
1320.000000,3,9,0,67.000000
1320.000000,4,12,0,52.000000
1380.000000,0,4,74,38.000000
1380.000000,1,4,73,0.633333
1380.000000,2,6,0,0.633333
1380.000000,3,9,0,68.000000
1380.000000,4,12,0,53.000000
1440.000000,0,4,74,39.000000
1440.000000,1,4,73,1.633333
1440.000000,2,6,0,1.633333
1440.000000,3,9,0,69.000000
1440.000000,4,12,0,54.000000
1500.000000,0,4,74,40.000000
1500.000000,1,4,73,2.633333
1500.000000,2,6,0,2.633333
1500.000000,3,9,0,70.000000
1500.000000,4,12,0,55.000000
1560.000000,0,4,74,41.000000
1560.000000,1,4,73,3.633333
1560.000000,2,6,0,3.633333
1560.000000,3,9,0,71.000000
1560.000000,4,12,0,56.000000
1620.000000,0,4,74,42.000000
1620.000000,1,4,73,4.633333
1620.000000,2,6,0,4.633333
1620.000000,3,9,0,72.000000
1620.000000,4,12,0,57.000000
1680.000000,0,5,93,43.000000
1680.000000,1,5,92,5.633333
1680.000000,2,6,0,5.633333
1680.000000,3,9,0,73.000000
1680.000000,4,12,0,58.000000
1740.000000,0,5,106,44.000000
1740.000000,1,5,105,0.566667
1740.000000,2,6,0,0.600000
1740.000000,3,9,0,74.000000
1740.000000,4,12,0,59.000000
1800.000000,0,5,106,45.000000
1800.000000,1,5,105,1.566667
1800.000000,2,6,0,1.600000
1800.000000,3,9,0,0.000000
1800.000000,4,12,0,60.000000
1860.000000,0,5,106,46.000000
1860.000000,1,5,105,2.566667
1860.000000,2,6,30,2.600000
1860.000000,3,9,0,1.000000
1860.000000,4,12,0,61.000000
1920.000000,0,5,106,47.000000
1920.000000,1,5,105,3.566667
1920.000000,2,6,60,3.600000
1920.000000,3,9,0,2.000000
1920.000000,4,12,0,62.000000
1980.000000,0,5,106,48.000000
1980.000000,1,5,105,4.566667
1980.000000,2,6,74,4.600000
1980.000000,3,9,0,0.566667
1980.000000,4,12,0,63.000000
2040.000000,0,6,107,49.000000
2040.000000,1,6,107,0.566667
2040.000000,2,6,74,0.533333
2040.000000,3,9,0,1.566667
2040.000000,4,12,0,64.000000
2100.000000,0,6,107,50.000000
2100.000000,1,6,107,1.566667
2100.000000,2,6,74,1.533333
2100.000000,3,9,0,2.566667
2100.000000,4,12,0,65.000000
2160.000000,0,6,107,51.000000
2160.000000,1,6,107,2.566667
2160.000000,2,6,74,2.533333
2160.000000,3,9,0,3.566667
2160.000000,4,12,0,66.000000
2220.000000,0,6,107,52.000000
2220.000000,1,6,107,3.566667
2220.000000,2,6,74,3.533333
2220.000000,3,9,0,4.566667
2220.000000,4,12,0,67.000000
2280.000000,0,6,107,53.000000
2280.000000,1,6,107,4.566667
2280.000000,2,7,91,4.533333
2280.000000,3,9,0,5.566667
2280.000000,4,12,0,68.000000
2340.000000,0,7,124,54.000000
2340.000000,1,7,123,5.566667
2340.000000,2,7,121,5.533333
2340.000000,3,9,0,6.566667
2340.000000,4,12,0,69.000000
2400.000000,0,7,136,55.000000
2400.000000,1,7,135,0.600000
2400.000000,2,7,134,0.600000
2400.000000,3,9,0,0.600000
2400.000000,4,12,0,70.000000
2460.000000,0,7,136,56.000000
2460.000000,1,7,135,1.600000
